date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:04	194/194	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20Jun%202020%2014:42:04%20GMT	https://www.appbrain.com/robots.txt		(from )
23:03:04	39181/39181	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Oct%202020%2021:03:05%20GMT	https://www.appbrain.com/dev/Spoopy+Squad/	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/www.appbrain.com/dev/Spoopy+Squad/index.html	(from )
23:03:05	134805/134805	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2020:08:09%20GMT	https://www.appbrain.com/images/logo.png	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/www.appbrain.com/images/logo.png	(from https://www.appbrain.com/dev/Spoopy+Squad/)
23:03:05	23000/23000	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202020%2020:32:42%20GMT	https://www.appbrain.com/apple-touch-icon-precomposed.png	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/www.appbrain.com/apple-touch-icon-precomposed.png	(from https://www.appbrain.com/dev/Spoopy+Squad/)
23:03:05	672449/672449	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244f077b456f3decb0d1b00769927c002%22	https://use.fontawesome.com/releases/v5.0.6/js/all.js	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/use.fontawesome.com/releases/v5.0.6/js/all.js	(from https://www.appbrain.com/dev/Spoopy+Squad/)
23:03:05	216064/216064	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Oct%202020%2014:41:54%20GMT	https://s.appbrain.com/static/202010061637551/apps_static/apps_css.min.css	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/s.appbrain.com/static/202010061637551/apps_static/apps_css.min.css	(from https://www.appbrain.com/dev/Spoopy+Squad/)
23:03:06	7450/7450	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2006%20Oct%202020%2014:41:54%20GMT	https://s.appbrain.com/static/202010061637551/gwt_apps/gwt_apps.nocache.js	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/s.appbrain.com/static/202010061637551/gwt_apps/gwt_apps.nocache.js	(from https://www.appbrain.com/dev/Spoopy+Squad/)
23:03:06	4061/4061	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2014:45:53%20GMT	https://s.appbrain.com/static/202010061637551/images/appbrain_logo.png	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/s.appbrain.com/static/202010061637551/images/appbrain_logo.png	(from https://www.appbrain.com/dev/Spoopy+Squad/)
23:03:06	8663/8663	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Oct%202020%2014:41:54%20GMT	https://s.appbrain.com/static/202010061637551/apps_static/nv.d3.css	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/s.appbrain.com/static/202010061637551/apps_static/nv.d3.css	(from https://www.appbrain.com/dev/Spoopy+Squad/)
23:03:06	151725/151725	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2006%20Oct%202020%2014:41:54%20GMT	https://s.appbrain.com/static/202010061637551/apps_static/d3.v3.min.js	C:/Users/Jaroslav/Desktop/WinHTTrack/AppBrain%20Spoopy%20Squad/s.appbrain.com/static/202010061637551/apps_static/d3.v3.min.js	(from https://www.appbrain.com/dev/Spoopy+Squad/)
